Facility_Name,Reg_No,Address,Facility_Type_RAW,Facility_Type,Level,Bed_Capacity,County
1ST RONGAI PEDIATRIC CLINIC,15232,P.O BOX 112-00511 ONGATA RONGAI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KAJIADO
32 DENTAL STUDIO,6105,P.O BOX 191-00606 NAIROBI,DENTAL CENTRE,DENTAL CENTRE,LEVEL 3A,0,NAIROBI
360 MEDICARE CENTRE CO. LTD,15127,P.O BOX 3751- NYAMIRA,NURSING HOME,NURSING HOME,LEVEL 3B,30,NYAMIRA
5TH AVENUE MEDICAL AND DAY SURGERY CENTRE,15109,P.O BOX 64808-00620 ESSO PLAZA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
64 DENTAL SUITES,10783,P.O BOX 8844-30100 ELDORET,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,UASIN GISHU
A. B CENTRE DENTAL CLINIC,7102,P.O BOX 51539-00200 NAIROBI,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,NAIROBI
A.C.C & S CHOMO COMMUNITY DISPENSARY,16686,P.O BOX 1768-01000 THIKA,FAITH BASED DISPENSARY,FAITH BASED,LEVEL 2,0,MURANG'A
A.C.C & S GITURU HEALTH CENTRE,1539,P.O BOX 1365-01000 THIKA,FAITH BASED DISPENSARY,FAITH BASED,LEVEL 2,0,MURANG'A
A.C.K KAMUKUYWA DISPENSARY,676,P.O BOX 423-50204 KIMILILI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,10,BUNGOMA
A.C.K MASABA DISPENSARY,1132,P.O BOX 25-50101 BUTERE,FAITH BASED DISPENSARY,FAITH BASED,LEVEL 2,0,KAKAMEGA
A.C.K MUTIRA DISPENSARY,1205,P.O BOX 36-10300 KERUGOYA,FAITH BASED DISPENSARY,FAITH BASED,LEVEL 2,0,KIRINYAGA
A.C.K NAMASOLI HEALTH CENTRE,1140,P.O BOX 72-40610 YALA,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,50,KAKAMEGA
A.C.K ST. PAULS MIHUTI DISPENSARY,641,P.O BOX 227-10202 KANGEMA,DISPENSARY,DISPENSARY,LEVEL 2,0,MURANG'A
A.C.K ST. STEPHENS CURA MOTHERS UNION DISPENSARY,1524,P.O BOX 79-00902 KIKUYU,DISPENSARY,DISPENSARY,LEVEL 2,0,KIAMBU
A.C.K SYONGILA CLINIC,9379,P.O BOX 100-90200 KITUI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KITUI
A.C.K. MASENO HOSPITAL,1018,P.O BOX 116-40105 MASENO,FAITH BASED LEVEL 4 HOSPITAL,FAITH BASED,LEVEL 4,160,VIHIGA
A.C.K. MOTHER\'S UNION DISPENSARY,2424,P.O BOX 1054-90200 KITUI,DISPENSARY,DISPENSARY,LEVEL 2,0,KITUI
A.I.C MUKAA HEALTH CENTRE,887,P.O BOX 20- NUNGUNI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,MAKUENI
A.I.C BAROTION HEALTH CENTRE,587,P.O BOX 394-20203 LONDIANI,FAITH-BASED BASIC CENTRE,FAITH BASED,LEVEL 3A,0,KERICHO
A.I.C BETHLEHEM HOUSE OF BREAD DISPENSARY,7140,P.O BOX 67-30106 TURBO,FAITH BASED DISPENSARY,FAITH BASED,LEVEL 2,0,UASIN GISHU
